Iteration	LogLikelihood	MoveType
437	-4402.7662	Reject
438	-4402.7662	Reject
439	-4401.4467	Swapped from Chain 1
439	-4401.4467	Reject
440	-4401.4467	Reject
441	-4401.4960	Swapped from Chain 1
441	-4401.4960	Reject
442	-4401.4960	Reject
443	-4402.7609	Swapped from Chain 1
443	-4402.7609	Reject
444	-4402.7609	Reject
445	-4401.4678	Swapped from Chain 1
445	-4401.4678	Reject
446	-4401.4678	Reject
447	-4401.4463	Swapped from Chain 1
447	-4401.4463	Reject
448	-4401.4463	Reject
449	-4402.7286	Swapped from Chain 1
449	-4402.7286	Reject
450	-4402.7286	Reject
451	-4401.4475	Swapped from Chain 1
451	-4401.4475	Reject
452	-4401.4475	Reject
453	-4401.4476	Swapped from Chain 1
453	-4401.4476	Reject
454	-4401.4476	Reject
455	-4401.5704	Swapped from Chain 1
455	-4401.5704	Reject
456	-4401.5704	Reject
457	-4401.4508	Swapped from Chain 1
457	-4401.4508	Reject
458	-4401.4508	Reject
459	-4401.5757	Swapped from Chain 1
459	-4401.5757	Reject
460	-4401.5757	Reject
461	-4401.5591	Swapped from Chain 1
461	-4401.5591	Reject
462	-4401.5591	Reject
463	-4402.5594	Swapped from Chain 1
463	-4402.5594	Reject
464	-4402.5594	Reject
465	-4401.4560	Swapped from Chain 1
465	-4401.4560	Reject
466	-4401.4560	Reject
467	-4401.5418	Swapped from Chain 1
467	-4401.5418	Reject
468	-4401.5418	Reject
469	-4402.5773	Swapped from Chain 1
469	-4402.5773	Reject
470	-4402.5773	Reject
471	-4401.5759	Swapped from Chain 1
471	-4401.5759	Reject
472	-4401.5759	Reject
473	-4401.4581	Swapped from Chain 1
473	-4401.4581	Reject
474	-4401.4581	Reject
475	-4401.4467	Swapped from Chain 1
475	-4401.4467	Reject
476	-4401.4467	Reject
477	-4401.6779	Swapped from Chain 1
477	-4401.6779	Reject
478	-4401.6779	Reject
479	-4401.4960	Swapped from Chain 1
479	-4401.4960	Reject
480	-4401.4960	Reject
481	-4401.4678	Swapped from Chain 1
481	-4401.4678	Reject
482	-4401.4678	Reject
483	-4401.4463	Swapped from Chain 1
483	-4401.4463	Reject
484	-4401.4463	Reject
485	-4401.4508	Swapped from Chain 1
485	-4401.4508	Reject
486	-4401.4508	Reject
487	-4401.4475	Swapped from Chain 1
487	-4401.4475	Reject
488	-4401.4475	Reject
489	-4401.4476	Swapped from Chain 1
489	-4401.4476	Reject
490	-4401.4476	Reject
491	-4401.5591	Swapped from Chain 1
491	-4401.5591	Reject
492	-4401.5591	Reject
493	-4401.5704	Swapped from Chain 1
493	-4401.5704	Reject
494	-4401.5704	Reject
495	-4401.5757	Swapped from Chain 1
495	-4401.5757	Reject
496	-4401.5757	Reject
497	-4403.2691	Swapped from Chain 1
497	-4403.2691	Reject
498	-4403.2691	Reject
499	-4402.5730	Swapped from Chain 1
499	-4402.5730	Reject
500	-4402.5730	Reject
501	-4401.5418	Swapped from Chain 1
501	-4401.5418	Reject
502	-4401.5418	Reject
503	-4401.4560	Swapped from Chain 1
503	-4401.4560	Reject
504	-4401.4560	Reject
505	-4401.4463	Swapped from Chain 1
505	-4401.4463	Reject
506	-4401.4463	Reject
507	-4402.5773	Swapped from Chain 1
507	-4402.5773	Reject
508	-4402.5773	Reject
509	-4401.5442	Swapped from Chain 1
509	-4401.5442	Reject
510	-4401.5442	Reject
511	-4401.4467	Swapped from Chain 1
511	-4401.4467	Reject
512	-4401.4467	Reject
